Name [displayName] Required,User name [userPrincipalName] Required,Initial password [passwordProfile] Required,Account enabled (true/false) [accountEnabled],First name [givenName],Last name [surname],Job title [jobTitle],Department [department],Usage location [usageLocation],Street address [streetAddress],State or province [state],Country or region [country],Office [officeLocation],City [city],ZIP or postal code [postalCode],Business phone [businessPhones],Mobile phone [mobilePhone]
James Anderson,james.anderson@yourdomain.onmicrosoft.com,**********,TRUE,James,Anderson,IT Manager,IT,US,,,,,,,,
Maria Garcia,maria.garcia@yourdomain.onmicrosoft.com,**********,TRUE,Maria,Garcia,Senior IT Analyst,IT,US,,,,,,,,
Wei Chen,wei.chen@yourdomain.onmicrosoft.com,**********,TRUE,Wei,Chen,IT Support Specialist,IT,US,,,,,,,,
Priya Patel,priya.patel@yourdomain.onmicrosoft.com,**********,TRUE,Priya,Patel,Marketing Coordinator,Marketing,US,,,,,,,,
Jamal Washington,jamal.washington@yourdomain.onmicrosoft.com,**********,TRUE,Jamal,Washington,Marketing Manager,Marketing,US,,,,,,,,
Emily Johnson,emily.johnson@yourdomain.onmicrosoft.com,**********,FALSE,Emily,Johnson,Marketing Coordinator,Marketing,US,,,,,,,,
Carlos Martinez,carlos.martinez@yourdomain.onmicrosoft.com,**********,TRUE,Carlos,Martinez,Sales Representative,Sales,US,,,,,,,,
Sofia Rodriguez,sofia.rodriguez@yourdomain.onmicrosoft.com,**********,FALSE,Sofia,Rodriguez,Sales Representative,Sales,US,,,,,,,,
David Kim,david.kim@yourdomain.onmicrosoft.com,**********,TRUE,David,Kim,Account Executive,Sales,US,,,,,,,,
Karen Thompson,karen.thompson@yourdomain.onmicrosoft.com,**********,TRUE,Karen,Thompson,Director of Engineering,Engineering,US,,,,,,,,
Daniel White,daniel.white@yourdomain.onmicrosoft.com,**********,TRUE,Daniel,White,Engineering Manager,Engineering,US,,,,,,,,
Nicole Harris,nicole.harris@yourdomain.onmicrosoft.com,**********,TRUE,Nicole,Harris,Senior Software Engineer,Engineering,US,,,,,,,,
Christopher Clark,christopher.clark@yourdomain.onmicrosoft.com,**********,TRUE,Christopher,Clark,Software Engineer,Engineering,US,,,,,,,,
Amanda Lewis,amanda.lewis@yourdomain.onmicrosoft.com,**********,FALSE,Amanda,Lewis,Software Engineer,Engineering,US,,,,,,,,
Matthew Walker,matthew.walker@yourdomain.onmicrosoft.com,**********,TRUE,Matthew,Walker,Software Engineer,Engineering,US,,,,,,,,
Stephanie Hall,stephanie.hall@yourdomain.onmicrosoft.com,**********,TRUE,Stephanie,Hall,DevOps Engineer,Engineering,US,,,,,,,,
Andrew Young,andrew.young@yourdomain.onmicrosoft.com,**********,TRUE,Andrew,Young,QA Engineer,Engineering,US,,,,,,,,
Rachel King,rachel.king@yourdomain.onmicrosoft.com,**********,TRUE,Rachel,King,Software Engineer,Engineering,US,,,,,,,,
Vanessa Stewart,vanessa.stewart@yourdomain.onmicrosoft.com,**********,TRUE,Vanessa,Stewart,Customer Service Manager,Customer Service,US,,,,,,,,
Nathan Sanchez,nathan.sanchez@yourdomain.onmicrosoft.com,**********,TRUE,Nathan,Sanchez,Customer Service Representative,Customer Service,US,,,,,,,,
Alicia Morris,alicia.morris@yourdomain.onmicrosoft.com,**********,TRUE,Alicia,Morris,Customer Service Representative,Customer Service,US,,,,,,,,
Brandon Rogers,brandon.rogers@yourdomain.onmicrosoft.com,**********,TRUE,Brandon,Rogers,Customer Service Representative,Customer Service,US,,,,,,,,
Diana Reed,diana.reed@yourdomain.onmicrosoft.com,**********,FALSE,Diana,Reed,Customer Service Representative,Customer Service,US,,,,,,,,
